word,freq_zipf,language,source,n_density,old20
arabic,4.03,en,wordfreq,1,2.7
arabs,3.76,en,wordfreq,0,2.0
arbitrary,3.85,en,wordfreq,0,4.5
arc,4.21,en,wordfreq,4,1.6
arch,4.02,en,wordfreq,0,1.9
archbishop,3.82,en,wordfreq,0,5.65
archer,3.81,en,wordfreq,0,2.8
architect,4.08,en,wordfreq,0,4.15
architects,3.91,en,wordfreq,0,4.45
architectural,3.96,en,wordfreq,0,6.3
architecture,4.42,en,wordfreq,0,5.65
archive,3.98,en,wordfreq,0,2.75
archives,4.1,en,wordfreq,0,3.15
arctic,4.03,en,wordfreq,0,2.9
are,6.74,en,wordfreq,12,1.0
area,5.46,en,wordfreq,0,1.85
areas,5.15,en,wordfreq,0,1.95
arena,4.33,en,wordfreq,0,2.2
argentina,4.22,en,wordfreq,0,3.9
arguably,3.9,en,wordfreq,0,3.85
argue,4.46,en,wordfreq,0,2.35
argued,4.36,en,wordfreq,1,2.6
argues,4.04,en,wordfreq,1,2.65
arguing,4.25,en,wordfreq,0,2.95
argument,4.64,en,wordfreq,0,3.25
arguments,4.33,en,wordfreq,0,3.55
arise,3.93,en,wordfreq,0,1.95
arizona,4.38,en,wordfreq,0,3.6
arkansas,4.05,en,wordfreq,0,3.9
arm,4.73,en,wordfreq,5,1.4
armed,4.59,en,wordfreq,2,1.9
armies,3.9,en,wordfreq,0,2.4
armor,3.97,en,wordfreq,0,2.4
arms,4.82,en,wordfreq,3,1.75
armstrong,3.9,en,wordfreq,0,4.6
army,5.06,en,wordfreq,1,1.85
arnold,4.0,en,wordfreq,0,2.95
around,5.77,en,wordfreq,1,2.3
arrange,4.0,en,wordfreq,0,2.75
arranged,4.31,en,wordfreq,0,3.1
arrangement,4.25,en,wordfreq,0,4.4
arrangements,4.23,en,wordfreq,0,4.75
array,4.1,en,wordfreq,0,2.2
arrest,4.55,en,wordfreq,0,2.55
arrested,4.64,en,wordfreq,0,2.95
arrival,4.44,en,wordfreq,0,2.7
arrive,4.38,en,wordfreq,0,2.45
arrived,4.79,en,wordfreq,1,2.6
arrives,4.11,en,wordfreq,1,2.55
arriving,4.16,en,wordfreq,0,2.95
arrow,4.13,en,wordfreq,0,2.3
arrows,3.8,en,wordfreq,0,2.55
arsenal,4.31,en,wordfreq,0,3.2
art,5.29,en,wordfreq,6,1.35
arthur,4.41,en,wordfreq,0,2.85
article,5.09,en,wordfreq,0,2.75
articles,4.71,en,wordfreq,0,3.1
artificial,4.24,en,wordfreq,0,4.85
artillery,3.96,en,wordfreq,0,4.05
artist,4.8,en,wordfreq,0,2.5
artistic,4.17,en,wordfreq,0,3.6
artists,4.67,en,wordfreq,0,2.8
arts,4.7,en,wordfreq,2,1.8
artwork,4.11,en,wordfreq,0,3.5
as,6.77,en,wordfreq,27,1.0
asap,3.81,en,wordfreq,0,2.0
ash,4.16,en,wordfreq,3,1.45
ashamed,4.06,en,wordfreq,0,2.75
ashes,3.93,en,wordfreq,1,1.95
ashley,4.11,en,wordfreq,0,2.9
asia,4.65,en,wordfreq,0,1.95
asian,4.69,en,wordfreq,0,2.05
aside,4.59,en,wordfreq,0,1.95
ask,5.34,en,wordfreq,2,1.7
asked,5.3,en,wordfreq,0,2.0
asking,4.96,en,wordfreq,0,2.0
asks,4.44,en,wordfreq,0,1.8
asleep,4.36,en,wordfreq,0,2.75
aspect,4.41,en,wordfreq,0,2.6
aspects,4.5,en,wordfreq,0,2.65
ass,5.0,en,wordfreq,4,1.5
